Status,mark,Stand_ID.m,lng,lat,pattern_state
dead,dead,7,24.728899,45.64627347,state2
dead,dead,8,24.73471738,45.63832133,state2
dead,dead,8,24.73471738,45.63832133,state2
dead,dead,8,24.73581896,45.64094786,state2
dead,dead,8,24.74591106,45.63646995,state2
dead,dead,8,24.74591106,45.63646995,state2
dead,dead,8,24.74798051,45.63940994,state2
dead,dead,8,24.74798051,45.63940994,state2
dead,dead,8,24.7465518,45.64145626,state2
dead,dead,8,24.74376237,45.63687179,state2
dead,dead,9,24.69476696,45.6479144,state2
dead,dead,9,24.69825407,45.6500011,state2
dead,dead,9,24.69436769,45.64909222,state2
dead,dead,9,24.69436769,45.64909222,state2
dead,dead,9,24.69723195,45.64719074,state2
dead,dead,9,24.70290489,45.63805072,state2
dead,dead,9,24.70746312,45.64001477,state2
dead,dead,9,24.70612414,45.63784341,state1
dead,dead,9,24.70612414,45.63784341,state1
dead,dead,9,24.70612414,45.63784341,state1
dead,dead,10,24.67543242,45.63330043,state2
dead,dead,11,24.58964827,45.62686777,state2
dead,dead,11,24.58964827,45.62686777,state2
dead,dead,11,24.59230262,45.63053835,state2
dead,dead,11,24.59230262,45.63053835,state2
dead,dead,11,24.59730706,45.62755402,state1
dead,dead,11,24.59993096,45.63316681,state2
dead,dead,11,24.59993096,45.63316681,state2
dead,dead,12,24.41634187,45.55017274,state2
dead,dead,12,24.4187306,45.55143246,state1
dead,dead,12,24.42202268,45.55104489,state2
dead,dead,12,24.43120034,45.55451973,state2
dead,dead,12,24.4260911,45.55379402,state2
dead,dead,12,24.43215192,45.5553476,state2
dead,dead,12,24.43215192,45.5553476,state2
dead,dead,12,24.43215192,45.5553476,state2
dead,dead,13,24.60460051,45.57154964,state1
dead,dead,13,24.60460051,45.57154964,state1
dead,dead,13,24.60673039,45.57152971,state1
dead,dead,13,24.61550181,45.57255959,state2
dead,dead,13,24.61550181,45.57255959,state2
dead,dead,13,24.62055674,45.5736121,state2
dead,dead,13,24.62108408,45.57473441,state2
dead,dead,13,24.61800364,45.57434771,state2
dead,dead,13,24.61800364,45.57434771,state2
dead,dead,13,24.61295125,45.5768763,state2
dead,dead,13,24.61295125,45.5768763,state2
dead,dead,13,24.6199704,45.57542636,state2
dead,dead,13,24.6199704,45.57542636,state2
dead,dead,14,25.472705,47.43439334,state2
dead,dead,14,25.472705,47.43439334,state2
dead,dead,14,25.47111,47.43696334,state2
